service_code,persona,permission,ui_component,api_endpoint,core_entity,sap_source,sap_field,test_id
MGR_APPROVAL_001,MANAGER,workflow.approve,ApprovalInbox,/api/workflow/inbox,workflow_task,WORKFLOW_TASK,STATUS,TC_MGR_002
MGR_COST_001,MANAGER,manager.cost.aggregate.read,TeamCost,/api/manager/cost,payroll_result,PCL2_B2_PAYROLL,BETRG,TC_MGR_003
EXEC_WORKFORCE_001,EXECUTIVE,executive.workforce.read,WorkforceOverview,/api/executive/workforce,employee,PA0000,STAT2,TC_EXEC_001
EXEC_COST_001,EXECUTIVE,executive.cost.read,HrCostIntelligence,/api/executive/cost,payroll_result,PCL2_B2_PAYROLL,BETRG,TC_EXEC_002
EXEC_TRAINING_001,EXECUTIVE,executive.training.read,TrainingIntelligence,/api/executive/training,training_booking,PAD25_HRP1001_025,BSTAT,TC_EXEC_003
EXEC_TALENT_001,EXECUTIVE,executive.talent.read,TalentIntelligence,/api/executive/talent,performance_document,TALENT_HAP_DOCUMENT,OVERALL_SCORE,TC_EXEC_004
MGR_TIME_001,MANAGER,manager.time.read,TeamTimeOverview,/api/manager/time,time_absence,PA2001,AWART,TC_MGR_004
MGR_CAPABILITY_001,MANAGER,manager.capability.read,TeamCapabilityMatrix,/api/manager/capabilities,employee_qualification,PA0024,PROFIC,TC_MGR_005
MGR_TRAINING_001,MANAGER,manager.training.write,TeamTrainingApproval,/api/manager/training,training_booking,PAD25_HRP1001_025,BSTAT,TC_MGR_006
MGR_TALENT_001,MANAGER,manager.talent.read,TeamTalentReview,/api/manager/talent,performance_document,TALENT_HAP_DOCUMENT,FINAL_RATING,TC_MGR_007
EXEC_ORG_001,EXECUTIVE,executive.org.read,OrgStructureAnalytics,/api/executive/org,om_relationship,HRP1001,RELAT,TC_EXEC_005
EXEC_SUCCESSION_001,EXECUTIVE,executive.succession.read,SuccessionCoverage,/api/executive/succession,succession_candidate,TALENT_SUCCESSION_EXTRACT,READINESS,TC_EXEC_006
PA_CONTRACT_001,EMPLOYEE,employee.contract.read,ContractProfile,/api/employee/:id/contract,employee_contract,PA0016,CTTYP,TC_PA_005
PT_OVERTIME_001,EMPLOYEE,time.overtime.read,OvertimeManager,/api/time/overtime,overtime_claim,PA2005,STDAZ,TC_PT_005
PY_LOAN_001,EMPLOYEE,payroll.loan.read,LoanSchedule,/api/payroll/loans,employee_loan,PA0045,DARLN,TC_PY_004
PE_CERTIFICATE_001,EMPLOYEE,training.certificate.read,CertificateVault,/api/training/certificates,training_attendance_result,TEM_RESULTS,SCORE,TC_PE_005
TM_COMPETENCY_001,EMPLOYEE,talent.competency.read,CompetencyRadar,/api/talent/competencies,competency_assessment,TALENT_APPRAISAL_DOC,PROFICIENCY,TC_TM_006
EXEC_RETENTION_001,EXECUTIVE,executive.retention.read,RetentionAnalytics,/api/analytics/retention,performance_document,TALENT_HAP_DOCUMENT,STAT2,TC_EXEC_007
